,Unnamed: 0_x,CDS_uniq,max_lst,min_lst,med_lst,sd_lst,Unnamed: 0_y,lat,lon,mean_lst
20,20,38684780107300,301.13852173913045,298.4683950617283,298.4683950617283,1.1508708841527575,20,37.7186829082,-122.42465149,299.1129576689828
21,21,38684786040828,296.9089592760181,296.9089592760181,296.9089592760181,0.0,21,37.7537555441,-122.456266531,296.9089592760181
22,22,38684786040836,301.13852173913045,298.4683950617283,301.13852173913045,1.1561987669737226,22,37.7203231323,-122.428878846,300.4883806743923
23,23,38684786040968,301.27240816326537,301.27240816326537,301.27240816326537,0.0,23,37.7876803356,-122.439542178,301.27240816326537
24,24,38684786112601,301.3193650793652,301.3193650793652,301.3193650793652,6.229374549314316e-06,24,37.7795559461,-122.435981114,301.3193650793652
25,25,38684783830064,304.5536964980545,304.5536964980545,304.5536964980545,0.0,25,37.7613964995,-122.403702959,304.5536964980545
26,26,38684786104673,303.6673076923077,303.2790874524713,303.2790874524713,0.1681042948805869,26,37.7317947132,-122.393887302,303.3621318120059
27,27,38684786040935,302.88824902723763,302.88824902723763,302.88824902723763,0.0,27,37.7545507564,-122.42604344,302.88824902723763
28,28,38684786040950,299.15968127490044,299.15968127490044,299.15968127490044,0.0,28,37.7186566392,-122.40785526,299.15968127490044
29,29,38684786062038,302.900234375,302.900234375,302.900234375,3.253184758844153e-06,29,37.7635761845,-122.429364606,302.900234375
30,30,38684786041545,302.900234375,302.900234375,302.900234375,6.607249479556569e-06,30,37.7634545667,-122.430356811,302.900234375
31,31,38684786040984,301.879841897233,301.879841897233,301.879841897233,0.0,31,37.7404344162,-122.425013,301.879841897233
32,32,38684780111427,299.4939795918367,299.43419689119173,299.4939795918367,0.0294732687729329,32,37.7396857282,-122.481366453,299.4666475009399
33,33,38684780118141,303.4721400778212,303.4721400778212,303.4721400778212,0.0,33,37.7771070169,-122.40222977,303.4721400778212
34,34,38684780118133,303.4721400778212,303.4721400778212,303.4721400778212,0.0,34,37.7771070169,-122.40222977,303.4721400778212
35,35,38684786041347,302.6079389312978,302.6079389312978,302.6079389312978,5.3947966093944364e-06,35,37.7477452025,-122.41196746,302.6079389312978
