,CDS_uniq,max_lst,min_lst,med_lst,sd_lst
95,38684786041511,301.4089682539681,301.4089682539681,301.4089682539681,0.0
96,38684786041487,302.7773384030417,302.7773384030417,302.7773384030417,5.7672801667667724e-06
97,38684786089775,301.4342063492066,298.1987654320987,301.4342063492066,1.6161906988960484
98,38684786059901,300.4404273504272,300.4404273504272,300.4404273504272,0.0
99,38103893830445,301.88266666666686,301.88266666666686,301.88266666666686,0.0
100,38103896069561,299.42368932038823,299.42368932038823,299.42368932038823,0.0
101,38745343890019,299.42368932038823,299.42368932038823,299.42368932038823,0.0
102,38684786041289,301.879841897233,301.879841897233,301.879841897233,0.0
103,38684786041560,299.5638793103448,299.5638793103448,299.5638793103448,0.0
104,38684786041578,301.12521739130426,301.12521739130426,301.12521739130426,0.0
105,38684786040851,300.1385221674877,300.1385221674877,300.1385221674877,1.1196890040669903e-05
106,38684786041594,301.12521739130426,301.12521739130426,301.12521739130426,3.4119689598080286e-06
107,38684786041529,299.9445283018867,299.9445283018867,299.9445283018867,5.086263020833333e-06
108,38684786041610,300.3454077253219,300.3454077253219,300.3454077253219,4.404832986371046e-06
109,38684786115901,302.3830830039525,302.3830830039525,302.3830830039525,6.229374549314316e-06
110,38684786041685,299.7469607843135,296.41786407766983,296.41786407766983,1.3072587961223125
111,38684786041701,301.96038314176224,301.96038314176224,301.96038314176224,7.62939453125e-06
112,38684786059919,301.96038314176224,298.4683950617283,301.96038314176224,0.4492263195136933
113,38684783830205,300.7579757085021,300.7579757085021,300.7579757085021,0.0
114,38684786040893,303.8803100775194,303.8803100775194,303.8803100775194,3.4119689598080286e-06
115,38684783830031,303.26286821705406,301.3193650793652,303.26286821705406,0.9617846226203659
116,38684786041727,299.3628155339807,299.3628155339807,299.3628155339807,0.0
117,38684786041131,298.697751004016,298.697751004016,298.697751004016,0.0
118,38684786113245,298.5662135922331,298.5662135922331,298.5662135922331,5.9097035922354386e-06
119,38684780132241,303.3085057471263,303.3085057471263,303.3085057471263,5.7672801667667724e-06
120,38769270132183,304.79952569169944,304.79952569169944,304.79952569169944,0.0
121,38684783830197,296.6947136563875,296.6947136563875,296.6947136563875,0.0
122,38684786041644,297.24966183574895,297.24966183574895,297.24966183574895,0.0
123,38103893830361,298.8709401709402,298.45222222222225,298.45222222222225,0.17407767880664793
124,38103893830395,304.1786100386102,304.1786100386102,304.1786100386102,0.0
125,38684780123505,303.9114068441065,303.9114068441065,303.9114068441065,0.0
126,38684780117523,299.022092050209,297.8865546218489,299.022092050209,0.35686498497321917
127,38684780117499,297.2918222222224,294.3156950672646,297.2918222222224,1.4508560998477469
128,38771310137307,302.99538461538475,302.99538461538475,302.99538461538475,0.0
