,CDS_uniq,lat,lon,mean_lst
61,38684786099154,37.7567409319,-122.412626994,303.9114068441065
62,38684780117465,37.7950802051,-122.409084109,300.886913580247
63,38684786040877,37.7943974427,-122.408809466,300.886913580247
64,38684786041339,37.7580506744,-122.489098242,299.2194531229961
65,38684786062053,37.7493628293,-122.432784798,302.67317829457386
66,38684783830429,37.8255108855,-122.367996722,295.7722904678181
67,38684786102479,37.8033168444,-122.442899827,297.8865546218489
68,38684783833241,37.7465923249,-122.480238385,300.17613554832843
69,38684786041362,37.7104241428,-122.446738605,299.5638793103448
70,38684780117572,37.7552750188,-122.428095058,302.88824902723763
71,38684786041586,37.7345510848,-122.380846295,302.99538461538475
72,38684786062061,37.8018258207,-122.435481059,298.92239222698356
73,38684783830403,37.7363104115,-122.401645797,303.13963356436506
74,38684786041412,37.7662890443,-122.419024156,304.5536964980545
75,38684780117515,37.7830089346,-122.429504335,301.7580738428367
76,38684786041503,37.7830089346,-122.429504335,301.7580738428367
77,38684786041016,37.7763113671,-122.464480175,300.0866079295154
78,38684786041420,37.766884372,-122.436280479,300.45427348989307
79,38684780117531,37.7131311335,-122.423185519,300.1593600000001
80,38684786040919,37.758927737,-122.436447218,301.0468774703556
81,38684786041438,37.7386361225,-122.450190686,298.596558139535
82,38684786089585,37.7422031386,-122.431435561,300.8384552845529
83,38684783834082,37.762019214,-122.427306422,302.90023437499997
84,38684786041446,37.7253987352,-122.430486702,300.7200051903758
85,38684786093488,37.7261042485,-122.432133395,300.7533333333335
86,38684786041255,37.7737597211,-122.428679435,303.26286821705406
87,38684786097919,37.7738854255,-122.450266899,299.8092682926829
88,38684780117473,37.7538336041,-122.503653689,298.7869261876362
89,38684783834769,37.7595153689,-122.413555234,304.79952569169944
90,38684786041271,37.7167813195,-122.46667376,299.64896482533584
91,38684786041206,37.7976204333,-122.411038058,300.886913580247
92,38684786041065,37.7838543309,-122.465024311,298.06899521531074
93,38684783839081,37.7779031721,-122.491011221,299.09277626662896
94,38684786062079,37.7808645063,-122.489627079,299.42368932038823
95,38684786041511,37.7895210952,-122.419254193,301.4089682539681
96,38684786041487,37.7376140312,-122.413117225,302.767273021668
97,38684786089775,37.7548094174,-122.443225848,299.9265490283977
98,38684786059901,37.7822814687,-122.458354846,300.4404273504272
99,38103893830445,37.7802963347,-122.422942198,301.9130144961538
100,38103896069561,37.7755109121,-122.483876468,299.42368932038823
101,38745343890019,37.7755109134,-122.483876466,299.42368932038823
102,38684786041289,37.7369100922,-122.421488733,301.879841897233
103,38684786041560,37.7144761535,-122.459629342,299.5638793103448
104,38684786041578,37.797801503,-122.426117889,301.12521739130426
105,38684786040851,37.731260168,-122.470481923,300.1385221674877
106,38684786041594,37.7940061973,-122.418818509,301.12521739130426
107,38684786041529,37.7488444172,-122.492756089,299.9445283018867
108,38684786041610,37.7302939617,-122.448254628,300.3454077253219
109,38684786115901,37.7817960022,-122.419774053,302.3830830039525
110,38684786041685,37.7373177162,-122.499398743,297.0990986486286
111,38684786041701,37.7125234238,-122.409899462,301.96038314176224
112,38684786059919,37.7157450781,-122.41208132,301.8335536856765
113,38684783830205,37.780647174,-122.445967517,300.7579757085021
114,38684786040893,37.7605212887,-122.395843685,303.8803100775194
115,38684783830031,37.7750129864,-122.433897365,302.3416315457494
116,38684786041727,37.7428739907,-122.46434905,299.381298096003
117,38684786041131,37.8019616107,-122.416609581,298.7088400112076
118,38684786113245,37.7589645358,-122.469682743,298.5662135922331
119,38684780132241,37.7368011648,-122.400331822,303.3085057471263
120,38769270132183,37.7601840685,-122.411330064,304.79952569169944
121,38684783830197,37.7632241702,-122.46357714,296.6947136563875
122,38684786041644,37.7836033468,-122.471451599,297.5282723123411
123,38103893830361,37.74706439,-122.452873041,298.54121638172256
124,38103893830395,37.7504324836,-122.409396551,304.1786100386102
125,38684780123505,37.7552286946,-122.408860694,303.9114068441065
126,38684780117523,37.8018258148,-122.435481052,298.92239222698356
127,38684780117499,37.7975463908,-122.461054128,296.26580272085107
128,38771310137307,37.7345511428,-122.380846367,302.99538461538475
