,unique_ide,mean_lst,max_lst,min_lst,sd_lst,latitude,longitude
92,3747/320_2018,298.7455387528398,298.7633948339484,298.7633948339484,0.0,37.78732243310903,-122.39222370647796
93,0134/001_2018,297.78960832346996,297.58708487084857,297.58708487084857,0.0,37.79979772821424,-122.40286504339484
94,0307/001_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78775531306896,-122.40878221453217
95,5203/041_2018,302.72939393939384,302.72939393939384,302.72939393939384,0.0,37.74322469761157,-122.3853429743672
96,0255/002_2018,301.3242265869578,301.3270042194094,301.3270042194094,0.0,37.791404953704046,-122.4102482176366
97,0571/005_2018,301.12521739130426,301.12521739130426,301.12521739130426,4.404832986371046e-06,37.79621512327742,-122.42273698535412
98,3531/028_2018,303.26286821705406,303.26286821705406,303.26286821705406,0.0,37.769509957362814,-122.41944885999251
99,2019/016_2018,299.7259047619045,299.7259047619045,299.7259047619045,4.404832986371046e-06,37.75412757151398,-122.48881953507929
100,3701/060_2018,302.3830830039525,302.3830830039525,302.3830830039525,3.4119689598080286e-06,37.77757037302997,-122.41427374237144
101,0057/001_2018,297.06386100386106,297.06386100386106,297.06386100386106,0.0,37.80527223184168,-122.40458340536895
102,3966/002_2018,304.5536964980545,304.5536964980545,304.5536964980545,0.0,37.76457166652054,-122.41184520994553
103,3508/039_2018,301.9290405479654,301.88266666666686,301.88266666666686,0.0,37.77629247397648,-122.41624527871105
104,3706/074_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.786527347573085,-122.40310005999407
105,3774/025_2018,292.75966639207877,298.7633948339484,291.9657370517929,2.7190631128643283,37.78322654874049,-122.39121859488336
106,3789/007_2018,291.9657370517929,291.9657370517929,291.9657370517929,0.0,37.781688989144186,-122.39106181657436
107,3736/183_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78798866274369,-122.39610066856972
108,3740/034_2018,293.15658536585374,293.15658536585374,293.15658536585374,0.0,37.79034615192895,-122.39221431981032
109,3785/009_2018,302.8579353942626,303.47214007782117,299.36666666666673,1.7777221343105902,37.7752272531252,-122.39963075697526
110,4231/002_2018,300.4886642599278,300.4886642599278,300.4886642599278,0.0,37.754825117759935,-122.38743433595413
111,3903/004_2018,303.9268679245282,303.9268679245282,303.9268679245282,0.0,37.76908714189881,-122.411527667005
112,0111/002_2018,297.06386100386106,297.06386100386106,297.06386100386106,0.0,37.80078348620171,-122.40089090641926
113,2346/014_2018,300.2082296650717,300.2082296650717,300.2082296650717,0.0,37.74335874340957,-122.47429147476429
114,3774/067_2018,292.51246555974103,291.9657370517929,291.9657370517929,0.0,37.783171118885726,-122.39290104773076
115,3794/025_2018,300.33751824817534,300.33751824817534,300.33751824817534,0.0,37.77925248814455,-122.39136858257568
116,3751/105_2018,300.33751824817534,300.33751824817534,300.33751824817534,0.0,37.782181600598655,-122.40037465641592
117,0208/024_2018,298.1963768263317,297.58708487084857,297.58708487084857,0.0,37.795143034056736,-122.40431166314386
118,0313/017_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78697967564066,-122.40595335488524
119,6635/055_2018,302.67317829457386,302.67317829457386,302.67317829457386,0.0,37.74321282150719,-122.4221897345733
120,0207/032_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79515656243259,-122.40273226947156
121,3701/065_2018,302.3830830039525,302.3830830039525,302.3830830039525,0.0,37.7775219478272,-122.41542597835176
122,3707/063_2018,301.3172843733982,301.3270042194094,301.3270042194094,0.0,37.78676080494212,-122.4019742311548
123,3786/014_2018,303.47214007782117,303.47214007782117,303.47214007782117,0.0,37.77683963606268,-122.39608033707565
124,0239/026_2018,300.6656422673719,300.886913580247,300.886913580247,3.4119689598080286e-06,37.79339299061543,-122.4023135038874
125,0022/010_2018,299.8510077519379,299.8510077519379,299.8510077519379,3.4119689598080286e-06,37.80673842212645,-122.41682695492143
126,3735/013_2018,301.2919206110062,301.3270042194094,301.3270042194094,0.0,37.7846274084315,-122.39845774848224
127,5211/033_2018,302.72939393939384,302.72939393939384,302.72939393939384,0.0,37.74572923643669,-122.3877976497432
128,5211/032_2018,302.72939393939384,302.72939393939384,302.72939393939384,0.0,37.74572923643669,-122.3877976497432
129,0204/021_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79560696497556,-122.39922677439066
130,3704/001_2018,302.04737603836276,303.47214007782117,301.4089682539681,0.8933796059116577,37.783470080242765,-122.40804073444974
131,0326/011_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78569667381283,-122.40927445052657
132,3776/115_2018,300.33751824817534,300.33751824817534,300.33751824817534,0.0,37.78081472230336,-122.39579059099506
133,3733/079-B_2018,302.438645949829,303.47214007782117,300.33751824817534,1.5673109148278883,37.78168091167837,-122.404102313125
134,3733/079-A_2018,302.438645949829,303.47214007782117,300.33751824817534,1.5673109148278883,37.78168091167837,-122.404102313125
135,3722/257_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78629049376184,-122.4013751962597
136,0259/029_2018,300.886913580247,300.886913580247,300.886913580247,0.0,37.79226164849787,-122.40348595426144
137,0259/026_2018,300.886913580247,300.886913580247,300.886913580247,0.0,37.79226164849787,-122.40348595426144
138,0646/016_2018,301.4089682539681,301.4089682539681,301.4089682539681,0.0,37.78982967594954,-122.4216748828865
139,3575/091_2018,304.79952569169944,304.79952569169944,304.79952569169944,4.404832986371046e-06,37.76317463219725,-122.41900951358808
140,5246/052_2018,302.72939393939384,302.72939393939384,302.72939393939384,0.0,37.74584778989105,-122.3958703889294
141,3747/094_2018,293.8411705784062,293.15658536585374,293.15658536585374,0.0,37.7876020561825,-122.39191071083395
142,1355/011_2018,299.1223111111112,299.1223111111112,299.1223111111112,0.0,37.787336581381645,-122.4597932019121
143,3769/002A_2018,293.15658536585374,293.15658536585374,293.15658536585374,0.0,37.78893451714679,-122.3887832864
144,3732/562_2018,303.47214007782117,303.47214007782117,303.47214007782117,0.0,37.78054891549203,-122.4044979424156
145,3710/018_2018,293.15658536585374,293.15658536585374,293.15658536585374,0.0,37.79123863397594,-122.39645739908738
146,0628/013_2018,301.1990476190477,301.1990476190477,301.1990476190477,0.0,37.79052567315423,-122.43214036855986
147,5314/001_2018,303.3085057471263,303.3085057471263,303.3085057471263,0.0,37.73830203464728,-122.39603614571048
148,0344/010_2018,303.47214007782117,303.47214007782117,303.47214007782117,4.404832986371046e-06,37.78264902168953,-122.41294236266236
149,3708/056_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.79040673348983,-122.3992758846584
150,3912/003_2018,303.88638783269977,303.88638783269977,303.88638783269977,0.0,37.769532689168855,-122.4025286700357
151,0688/001_2018,301.1990476190477,301.1990476190477,301.1990476190477,0.0,37.78679180147209,-122.42544925388168
152,3721/119_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78849726345933,-122.39667702442308
153,1076/034_2018,300.326125271834,301.27240816326537,300.0651260504202,0.5691182458577253,37.78479263754386,-122.44035687415126
154,3735/059_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78505019972477,-122.39981703553936
155,0304/020_2018,301.4089682539681,301.4089682539681,301.4089682539681,0.0,37.787046632238905,-122.41403281562066
156,3914/001_2018,303.9055899275415,303.9268679245282,303.88638783269977,0.020240046404693932,37.76839652907639,-122.40246930185262
157,3709/014_2018,296.64727642179656,298.7633948339484,293.15658536585374,2.8034047340494084,37.79112129648983,-122.3981252939202
158,4793/003_2018,303.2790874524713,303.2790874524713,303.2790874524713,4.825252777356536e-06,37.72594655478451,-122.38266454481136
159,3580/080_2018,302.90023437499997,302.90023437499997,302.90023437499997,0.0,37.76239739300046,-122.43024390994704
160,0229/003_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79428947704215,-122.40078475025796
161,3761/002_2018,302.1763589048207,303.47214007782117,300.33751824817534,1.5673109148278883,37.77971765260613,-122.40054211859903
162,5431A/016-A_2018,302.3990697674418,302.3990697674418,302.3990697674418,0.0,37.72653313052653,-122.40006555901796
163,3750/079_2018,298.7747382383088,298.7633948339484,298.7633948339484,0.0,37.78447120642976,-122.39718149117928
